"Afghanistan, Fixed - Other",93,93,0.18,0.18,No Change,2024-03-05,1,1
"Afghanistan, Mobile - AT",93,9375,0.1585,0.1585,No Change,2024-03-05,1,1
"Afghanistan, Mobile - AWCC",93,9370,0.127,0.1255,Decrease,2024-06-24,1,1
"Afghanistan, Mobile - AWCC",93,9371,0.127,0.1255,Decrease,2024-06-24,1,1
"Afghanistan, Mobile - Etisalat",93,9373,0.149,0.1425,Decrease,2024-06-24,1,1
"Afghanistan, Mobile - Etisalat",93,9378,0.149,0.1425,Decrease,2024-06-24,1,1
"Afghanistan, Mobile - MTN",93,9376,0.125,0.125,No Change,2024-03-25,1,1
"Afghanistan, Mobile - MTN",93,9377,0.125,0.125,No Change,2024-03-25,1,1
"Afghanistan, Mobile - Other Carriers",93,937,0.171,0.171,No Change,2024-03-05,1,1
"Afghanistan, Mobile - Roshan",93,9372,0.159,0.159,No Change,2024-03-05,1,1
"Afghanistan, Mobile - Roshan",93,9379,0.159,0.159,No Change,2024-03-05,1,1
"Afghanistan, Mobile - Salam",93,9374,0.1585,0.1585,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3552155,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3552185,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3552253,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3552254,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3552440,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3553270,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3553350,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3553351,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3553490,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3553491,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3553560,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3554630,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3554631,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3554632,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3554633,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3555114,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3555263,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3555264,0.1275,0.1275,No Change,2024-03-05,1,1
"Albania, Fixed - AMC",355,3555370,0.1275,0.1275,No Change,2024-03-05,1,1
