Afghanistan- Fixed - Other,93,0.18
Afghanistan- Mobile - AT,9375,0.1585
Afghanistan- Mobile - AWCC,9370,0.1255
Afghanistan- Mobile - AWCC,9371,0.1255
Afghanistan- Mobile - Etisalat,9373,0.1425
Afghanistan- Mobile - Etisalat,9378,0.1425
Afghanistan- Mobile - MTN,9376,0.125
Afghanistan- Mobile - MTN,9377,0.125
Afghanistan- Mobile - Other Carriers,937,0.171
Afghanistan- Mobile - Roshan,9372,0.159
Afghanistan- Mobile - Roshan,9379,0.159
Afghanistan- Mobile - Salam,9374,0.1585
Albania- Fixed - AMC,3552155,0.1275
Albania- Fixed - AMC,3552185,0.1275
Albania- Fixed - AMC,3552253,0.1275
Albania- Fixed - AMC,3552254,0.1275
Albania- Fixed - AMC,3552440,0.1275
Albania- Fixed - AMC,3553270,0.1275
Albania- Fixed - AMC,3553350,0.1275
Albania- Fixed - AMC,3553351,0.1275
